Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
850	-307.39948	96.749886	-157.65573	-645.6458	12.4375	-115.49688	44.536835	-32.248398	-174.91736	85100	-0.23964258	4829.307	0.0	-1470.0381	0.7193435	5.125999e-09	640.8012034893036
860	-422.19305	450.6821	-200.57361	-2628.6978	16.76923	-124.14378	41.512363	-40.32704	-175.65018	86100	-0.101936355	7654.4155	0.0	-3563.8992	0.71658313	-4.768371e-10	648.298499584198
870	-302.92596	112.3588	-125.12023	-633.7694	11.921569	-140.40135	41.43757	-42.791832	-177.81049	87100	-0.20454745	4979.9863	0.0	-1083.2076	0.7143989	-6.6161157e-09	655.6265404224396
880	-353.283	341.5661	-169.71143	-2262.769	15.045455	-139.48569	38.231255	-40.4698	-179.82985	88100	-0.25164127	6435.683	0.0	-1983.7659	0.71178216	-1.5497207e-09	663.0938184261322
890	-320.2246	199.86388	-132.41687	-1592.9684	12.786885	-126.55217	51.759335	9.924979	-180.05531	89100	-0.21585146	5985.834	0.0	-1626.2794	0.708818	7.450581e-09	671.0081470012665
900	-378.38724	384.5244	-166.50655	-2023.9279	15.325	-141.25578	44.782963	-28.772507	-181.70645	90100	-0.20455222	6273.058	0.0	-2285.5337	0.7058179	-3.695488e-09	678.0748736858368
910	-311.34418	236.92612	-162.5964	-1550.0961	12.897959	-138.08858	46.075417	-30.163372	-180.98839	91100	-0.13269126	5647.697	0.0	-1434.2885	0.7031929	-1.0728834e-09	685.504462480545
920	-312.85425	161.88985	-149.67316	-1310.13	12.279411	-121.668304	45.253956	-26.92454	-177.68578	92100	-0.22767437	4305.4287	0.0	-948.2557	0.70095193	8.285045e-09	693.185361623764
930	-302.29333	111.19062	-145.96515	-766.7142	12.477273	-139.97787	38.340862	-44.70582	-179.28798	93100	-0.23688543	6734.604	0.0	-2503.0884	0.6981907	-5.9604585e-11	700.5403153896332
940	-355.7378	304.46097	-148.71811	-2439.8635	14.625	-129.74042	41.45462	-32.519325	-179.46692	94100	-0.21909094	5618.868	0.0	-1571.6041	0.6952979	-3.1590457e-09	707.9770522117615
950	-356.91272	380.31985	-157.0899	-2606.1335	14.09375	-124.62531	47.500225	-8.716761	-180.19693	95100	-0.21461232	5377.4824	0.0	-1951.8705	0.69244915	-8.761883e-09	714.7642452716827
960	-302.4473	89.247116	-153.75465	-574.2427	11.966666	-117.992294	48.23643	-26.469856	-178.66656	96100	-0.15922722	4966.2935	0.0	-1783.6979	0.6897303	-2.9802323e-09	722.2821679115295
970	-402.1384	409.3512	-165.72926	-2596.4392	16.023256	-136.22748	42.735054	-39.396057	-181.51456	97100	-0.19024684	6556.794	0.0	-2178.3926	0.68730897	-6.973744e-09	729.7997343540192
980	-364.68744	423.06027	-164.67421	-2551.0342	15.442307	-135.40494	46.43647	-24.92603	-180.76208	98100	-0.19231656	6037.7134	0.0	-2151.8687	0.6848277	1.788139e-10	737.3463320732117
990	-311.26947	272.43982	-157.27415	-2322.264	13.064516	-116.64286	44.86502	-39.79062	-181.2293	99100	-0.23205528	5474.1807	0.0	-1885.7617	0.6822225	5.90086e-09	744.9257180690765
